acc_x_0,acc_y_0,acc_z_0,gyro_x_0,gyro_y_0,gyro_z_0,acc_x_100,acc_y_100,acc_z_100,gyro_x_100,gyro_y_100,gyro_z_100,acc_x_200,acc_y_200,acc_z_200,gyro_x_200,gyro_y_200,gyro_z_200,acc_x_300,acc_y_300,acc_z_300,gyro_x_300,gyro_y_300,gyro_z_300,acc_x_400,acc_y_400,acc_z_400,gyro_x_400,gyro_y_400,gyro_z_400,acc_x_500,acc_y_500,acc_z_500,gyro_x_500,gyro_y_500,gyro_z_500,acc_x_600,acc_y_600,acc_z_600,gyro_x_600,gyro_y_600,gyro_z_600,acc_x_700,acc_y_700,acc_z_700,gyro_x_700,gyro_y_700,gyro_z_700,acc_x_800,acc_y_800,acc_z_800,gyro_x_800,gyro_y_800,gyro_z_800,acc_x_900,acc_y_900,acc_z_900,gyro_x_900,gyro_y_900,gyro_z_900,acc_x_1000,acc_y_1000,acc_z_1000,gyro_x_1000,gyro_y_1000,gyro_z_1000,shift,label
0.02873042,-0.1101333,10.04368,-0.7633588,1.167939,9.351145,0.8451532,0.03351882,10.18493,-0.4732824,1.160305,-2.473282,-1.872266,-0.3615245,10.42436,1.335878,-0.480916,12.92366,2.221819,0.1508347,10.12987,-1.206107,1.694656,-9.862596,19.6127,2.185906,10.84095,-2.038168,0.1374046,60.76336,-19.6133,0.4333505,9.291897,-0.1984733,-2.946565,-58.24428,-7.015011,-3.359065,9.995792,-0.2366412,1.129771,11.25191,-0.4333505,0.9409212,10.06044,-0.7328244,1.534351,-19.57252,-0.3902549,-0.1292869,10.01495,-1.007634,0.870229,-1.549618,-0.2011129,0.2633622,10.11311,-0.8625955,1.21374,-0.8473283,-0.1604115,-0.02633622,10.09395,0.2366412,1.274809,-0.961832,-16,1
0.7158663,0.06464344,10.05804,-1.030534,1.51145,6.10687,5.655105,-0.3280056,12.44985,-0.6183206,2.259542,-13.32824,10.10353,0.7852982,10.45787,-0.6259542,1.099237,28.81679,1.637634,-1.63524,10.14663,4.839694,-1.381679,14.92366,-15.27261,2.272097,9.787497,-1.664122,0.1221374,7.839694,-1.517924,0.617704,10.24479,-2.251908,-0.3740458,1.603053,-0.04548983,-0.1675941,10.1155,0.3053435,2.358779,-3.770992,-0.1029507,0.03830723,10.12508,-1.076336,1.21374,-0.8931297,0.02873042,-0.2873042,10.15141,-0.6259542,0.9847328,-5.305344,-0.2561796,-0.1556231,10.16339,-0.7709923,1.282443,-0.5572519,-0.09337386,0.06224924,10.16578,-1.229008,0.4045802,-1.251908,4,1
0.2896984,-0.1532289,10.10114,-0.5267176,1.229008,-1.389313,0.213084,0.05267244,10.16339,-1.396947,1.396947,2.549618,0.5674258,0.08619126,10.1179,-0.961832,1.221374,-3.374046,1.216254,0.1364695,10.12029,-0.5267176,1.519084,-10.71756,6.945579,1.194707,10.33816,0.3664122,1.954198,-13.51908,14.4538,-2.983175,10.67575,-2.145038,1.083969,9.061069,-19.6133,8.42759,8.992621,0.6641222,-1.145038,-12.0229,-1.671153,-0.5051765,9.967062,-0.7938931,0.06870229,36.35878,-0.3495534,-0.344765,10.10832,-0.08396947,0.8549618,-13.53435,-0.2298434,-0.03830723,10.13705,-1.29771,0.8167939,-2.748092,-0.1651999,0.1915361,10.1179,-0.5267176,0.9694656,-1.343511,-20,1
1.029507,0.06703765,10.15141,-0.6183206,2.114504,-3.152672,0.9959879,0.1197101,10.11071,-1.725191,0.2977099,-8.78626,19.6127,1.989582,11.04206,-1.916031,-2.305344,74.31298,-17.04672,-0.3878607,9.466674,2.236641,-1.847328,-39.32061,-7.917625,-2.806004,9.849746,0.05343511,1.900763,-36.99237,-0.4955997,0.9816227,10.23521,-1.21374,1.885496,-16.28244,-0.4668693,-0.1771709,10.18015,-1.251908,0.9236641,-2.480916,-0.1795651,0.1723825,10.12987,-0.610687,1.007634,-0.961832,-0.2322376,0.01197101,10.10593,-0.3664122,0.9847328,-1.435114,-0.1436521,-0.1101333,10.05804,-0.8244275,0.7938931,-1.610687,-0.1628057,-0.05985504,10.11071,-0.6335878,1.183206,-1.274809,3,1
0.248997,0.1005565,10.1562,-0.9312977,1.671756,1.022901,2.695871,-0.2896984,10.35492,-1.091603,0.6183206,1.793893,16.23269,2.410961,10.32619,-0.06870229,0.480916,7.610687,-1.865083,-3.275268,9.890448,-4.351145,-3.038168,43.0229,-17.31965,0.4237737,9.416395,-0.6335878,-2.519084,-58.74046,-0.605733,0.2011129,10.18493,-0.4045802,1.21374,-8.938931,-0.4525041,0.1508347,10.14184,-1.358779,0.8778625,5.931298,-0.1819593,-0.07900865,10.09635,-0.8244275,0.4274809,-1.053435,-0.1268927,-0.01675941,10.16339,-0.7251908,1.328244,-1.259542,0.06703765,-0.06943185,10.12508,-0.832061,0.8778625,4.305344,-0.06943185,-0.08140286,10.13945,-0.7328244,0.9694656,0.02290076,1,1
0.01197101,-0.05267244,10.09874,-1.061069,1.641221,-1.122137,0.2777274,0.02633622,10.11071,-0.8549618,1.129771,2.480916,4.091691,-0.05027823,10.17057,-0.6793893,-0.4198473,-6.198473,5.655105,-0.1292869,11.02769,0.6183206,-1.137405,-36.31298,-0.2777274,-0.5243302,10.31422,1.198473,-0.3053435,-1.923664,-6.129156,0.7565677,9.876082,-1.793893,4.465649,26.0229,-4.747702,1.412579,10.21606,0.2900764,1.137405,-3.435115,-0.9983821,-0.3064578,10.08198,-0.519084,0.8549618,-9.091603,0.07900865,-0.05746084,10.08198,-0.8549618,0.6717557,3.21374,0.3782839,-0.7565677,10.39084,5.641222,3.290076,-9.625955,-0.03591302,0.09816227,10.04128,-1.061069,2.435115,-1.175573,-4,1
0.05985504,0.01436521,10.12508,-0.2290076,1.083969,-1.824428,0.629675,0.09816227,10.18015,-0.4656488,0.8931297,-4.290076,0.6991069,-0.02154782,10.22085,0.1526718,1.198473,-4.801527,3.368642,0.01915361,10.1562,-1.083969,1.435114,-5.076336,16.16086,1.228225,11.01093,-0.06870229,-0.4885496,23.69466,-4.74052,-0.8499416,10.27112,-3.038168,-12.44275,25.51145,-14.10424,0.7972692,8.738836,2.564885,0.7862596,-72.64886,-0.2106898,-0.09816227,10.08198,-0.6030535,1.21374,-6.572519,-0.2753332,-0.09576806,10.13226,0.3053435,1.259542,-16.03053,-0.1939303,-0.08140286,10.11071,-1.0,0.5267176,-2.80916,-0.1867477,-0.06224924,10.08438,-0.7099237,1.0,-1.29771,-17,1
0.5434838,-0.09097966,10.05804,-0.2824428,1.480916,-11.38931,0.557849,-0.03351882,10.12268,-0.8473283,1.267176,0.6870229,1.055843,0.4525041,10.08438,-0.4198473,1.145038,0.4656488,2.844312,0.02633622,10.23761,-0.9923664,1.748092,-11.69466,15.00446,1.850718,10.65899,-4.664122,2.717557,98.07633,-5.092467,-5.786786,9.646238,2.290076,-0.1603053,-87.7481,-13.39077,-3.318364,9.289502,0.6793893,3.763359,-28.74046,-0.01915361,0.7661445,10.12508,-0.2061069,2.122137,-10.67939,-0.248997,-0.05746084,10.05565,-1.083969,1.19084,-1.343511,-0.1819593,-0.2513912,10.1562,-0.832061,0.5954198,-1.221374,-0.3160346,0.2681506,10.20169,-0.870229,1.480916,-1.328244,-19,1
0.08619126,-0.01436521,10.10832,-0.351145,1.152672,1.259542,1.067814,-0.002394202,10.18015,-0.870229,1.312977,-3.458015,0.7230489,-0.05985504,10.1179,-0.5877862,1.221374,-0.8854962,5.683835,0.5746084,10.18733,-1.29771,1.603053,-6.465649,19.6127,-0.05267244,10.57519,-4.351145,6.473282,57.37405,-16.0627,-2.63841,9.320627,-0.4351145,-7.564886,-2.274809,-7.120356,-2.121263,9.624691,2.847328,2.80916,-19.32061,-0.04070143,0.009576807,10.12747,-0.7557252,1.618321,-8.427481,-0.1412579,-0.1149217,10.07001,-0.1221374,1.732824,-15.79389,-0.1795651,-0.08858546,10.13466,-0.6412213,0.4427481,-1.633588,-0.1963245,-0.02394202,10.13705,-0.5038168,1.221374,-1.374046,-15,1
0.1244985,0.09576806,10.10832,-0.04580153,1.351145,-4.778626,2.032677,0.1149217,10.14902,-0.8091603,0.8473283,-6.885496,16.64449,-0.8475474,10.19451,-5.030534,2.099237,9.954199,0.5530606,0.3974375,8.327033,-1.099237,3.564885,13.25954,-13.24472,1.505953,11.56639,-0.2519084,-0.9541985,18.83969,-4.436456,-0.1891419,10.36211,2.618321,2.549618,-20.18321,-0.1747767,-0.1412579,10.12508,-1.824428,-0.3816794,14.75572,0.1149217,0.04070143,10.14184,-1.854962,1.335878,7.740458,0.05746084,-0.009576807,10.14423,-1.29771,0.4885496,0.8549618,0.1244985,-0.06464344,10.07001,-0.870229,1.603053,-1.137405,-0.02633622,-0.1771709,10.05325,-0.6793893,0.9160305,-0.05343511,4,1
